Name,Interview #,Transcript,Number of Keywords?,Video ID,Transcript (with subtitle time markers I think?),FLORENCE,SISTER/TWIN,ATTIC,BABY,MURDER,P,Simon,Jenn,Holly
EVE,1, A black coffee thanks. No sugar. I’m sweet enough as it is. ,7,101, %1.5%A black coffee thanks.%3%No sugar. I’m sweet enough as it is.%9,,,,,,0,TRUE,FALSE,TRUE
EVE,1, My name is Hannah. H-A-N-N-A-H. It’s a palindrome. It reads the same backwards as forwards. It doesn’t work if you mirror it though it’s not quite symmetrical. But well well you get the idea. Sorry! Hannah Smith. I live at thirty one Gladstone Street. ,20,102, %.25%My name is Hannah.#H-A-N-N-A-H.%5%It’s a palindrome.%7.5%It reads the same backwards as forwards.%9.5%It doesn’t work if you mirror it though;#it’s not quite symmetrical.%12%But; well; well you get the idea.%15%Sorry!%16.75%Hannah Smith.#I live at thirty one Gladstone Street.%20,,,,,,50,TRUE,TRUE,TRUE
EVE,1, Simon. Simon Smith. He works at Ernst Brothers Glass. They do windows all kinds of glass. Simon does the more special work. Mirror making feature windows. Artistic things. Really beautiful things ,19,103, %2%Simon.#Simon Smith.%5%He works at Ernst Brothers Glass.#They do windows; all kinds of glass.%9.5%Simon does the more special work.%11%Mirror making; feature windows.#Artistic things.%15%Really beautiful things…%17,,,,,,25,TRUE,TRUE,TRUE
EVE,1, A mobile phone? Yeah Well they have one for the glaziers but it's only for work. I can't remember the number. It’s in the kitchen. I saw it plugged in to its charging cradle. ,16,104, %.25%A mobile phone?#Yeah…%4%Well; they have one for the glaziers#but it's only for work.%7.5% I can't remember the number.%11.5%It’s in the kitchen. I saw it plugged in to#its charging cradle.%16,,,,,,0,TRUE,FALSE,TRUE
EVE,1, Um Simon is six foot. Darkish blonde hair. Average build. He’s clean shaven. If his beard grows it goes ginger so he shaves it I mean not that there's anything wrong with ginger hair! Uh I brought a photo. They said I should bring a photo. This was taken last year on holiday in Rome. It’s the best one I have. ,27,105, %.75%Um… Simon is six foot.#Darkish blonde hair. Average build.%7%He’s clean shaven. If his beard grows#it goes ginger; so he shaves it…%12%I mean not that there's anything wrong#with ginger hair!%15.5%Uh…%17%I brought a photo.#They said I should bring a photo.%21%This was taken last year#on holiday in Rome.%24.5%It’s the best one I have.%27,,,,,,25,TRUE,TRUE,TRUE
EVE,1, No he doesn't have any tattoos. He has a scar down here near his stomach. Past his hip. Cut himself with some glass. That was before  a long time ago. He looks just like the photo. He’s not got his glasses on here though. He takes them off for the camera. But he needs them to see properly. You know when he has to read. A newspaper or a menu in a restaurant. Not books so much. Or watching TV. He likes TV. ,37,106, %.5%No; he doesn't have any tattoos.%4%He has a scar; down here near his stomach.#Past his hip.%10%Cut himself with some glass.%12%That was before… a long time ago.%16.5%He looks just like the photo.%19%He’s not got his glasses on here though.%20.5%He takes them off for the camera.%23%But he needs them to see properly.%25.5% You know; when he has to read. A newspaper#or a menu in a restaurant.%31%Not books so much.#Or watching TV.%35%He likes TV.%37,,,,,,25,FALSE,FALSE,TRUE
EVE,1, He was wearing um a shirt. A blue turtle neck shirt and jeans. He has a watch. It’s a really nice one. That was a gift from his boss Eric. He had his coat. A long grey duffel coat like Paddington Bear. But he would have taken that with him. It's not in the house. ,27,107, %0.25%He was wearing; um… a shirt.%6%A blue turtle neck shirt and jeans.%10%He has a watch.#It’s a really nice one.%14%That was a gift from his boss; Eric.%18%He had his coat. A long grey duffel coat;#like Paddington Bear.%23%But he would have taken that with him.#It’s not in the house.%26,,,,,,0,TRUE,FALSE,TRUE
EVE,1, So it was Friday evening. We had an argument. He left On Saturday he didn't come back. I waited all day. He was supposed to go help Eric out with something on the Saturday afternoon  they had a job. He didn't show. So Eric was ringing on the phone. I checked at The Rock -- that's our local. They said they'd seen him on the Friday night but not since. He still wasn't back this morning which just isn't like him at all. Still not back by dinner time it’s getting dark again So I decided to come see you. His parents haven't heard anything either ,42,108, %1%So… it was Friday evening.#We had an argument. He left…%8%On Saturday he didn't come back.#I waited all day.%13%He was supposed to go help Eric out with something on the Saturday afternoon…%16%…they had a job.#He didn't show.%18.5%So Eric was ringing on the phone.%21%I checked at The Rock; that’s our local.%24%They said they'd seen him on the Friday#night; but not since.%27.5%He still wasn't back this morning;#which just isn't like him at all.%32.5%Still not back by dinner time.#It’s getting dark; again.%36.5%So I decided to come see you.%39.5%His parents haven't heard anything either…%999,,,,,,25,TRUE,FALSE,TRUE
EVE,1, It’s the Rockington Arms. The Rock. It’s run by a nice couple Peter and Susan. There’s some other regulars there that Simon likes to drink with. And the barmaid they have in sometimes Helen. Peter said Simon had been in and had a few drinks. ,16,109, %0.5%It’s the Rockington Arms.#The Rock.%4%It’s run by a nice couple;#Peter and Susan.%6.5%There’s some other regulars there that#Simon likes to drink with.%10%And the barmaid they#have in sometimes; Helen.%13%Peter said Simon had been in#and had a few drinks.%17,,,,,,0,TRUE,FALSE,TRUE
EVE,1, No. I think he spoke to Helen. She said he was upset about our argument but I'm not sure what else he said. He likes Helen. He likes blondes. ,12,110, %1%No. I think he spoke to Helen.%4%She said he was upset about our argument;#but I'm not sure what else he said.%8.5%He likes Helen.#He likes blondes.%999,,,,,,25,TRUE,TRUE,TRUE
